"sideid","mapid","layer","country","cowcode","groupname","marker","year","dhs.round","dhs.subround","sample.size","fit.comb","tps.g.fit","tps.par.knn","tps.par.sphkm","tps.par.knncut","tps.par.unsurv","tps.fit","knn.g.fit","knn.par.knn","knn.par.sphkm","knn.par.weights","knn.par.unsurv","knn.par.knncut","knn.fit"
"side_v1_82_1",82,1,"Ghana",452,"akan","ethnic",2008,5,2,114,0.148193785712104,0.346244081238562,41,52443,376,3117,0.155638363355374,0.350879053522304,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_2",82,2,"Ghana",452,"ewe","ethnic",2008,5,2,114,0.148193785712104,0.550171685009851,41,52443,376,3117,0.155638363355374,0.562347034641418,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_3",82,3,"Ghana",452,"ga/dangme","ethnic",2008,5,2,114,0.148193785712104,0.410885941400104,41,52443,376,3117,0.155638363355374,0.45922534174205,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_4",82,4,"Ghana",452,"gruma","ethnic",2008,5,2,114,0.148193785712104,0.274582879734056,41,52443,376,3117,0.155638363355374,0.196197728743938,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_5",82,5,"Ghana",452,"grussi","ethnic",2008,5,2,114,0.148193785712104,0.419863634821044,41,52443,376,3117,0.155638363355374,0.344428638997061,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_6",82,6,"Ghana",452,"guan","ethnic",2008,5,2,114,0.148193785712104,1.26619251873103,41,52443,376,3117,0.155638363355374,1.10420839412606,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_7",82,7,"Ghana",452,"mande","ethnic",2008,5,2,114,0.148193785712104,1.09729139695719,41,52443,376,3117,0.155638363355374,2.07368784382064,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_8",82,8,"Ghana",452,"mole-dagbani","ethnic",2008,5,2,114,0.148193785712104,0.23897174185369,41,52443,376,3117,0.155638363355374,0.215786085707539,19,96208,20566,2801,175,0.151679079411948
"side_v1_82_9",82,9,"Ghana",452,"other","ethnic",2008,5,2,114,0.148193785712104,1.01247225874078,41,52443,376,3117,0.155638363355374,1.20634602828128,19,96208,20566,2801,175,0.151679079411948
"side_v1_85_1",85,1,"Guinea",438,"guerze","ethnic",1999,4,1,114,0.156286631454568,0.303327334876411,269,419478,34,1805,0.15646015508462,NA,8,1284,1614,2800,92,NA
"side_v1_85_2",85,2,"Guinea",438,"kissi","ethnic",1999,4,1,114,0.156286631454568,0.490977065897375,269,419478,34,1805,0.15646015508462,NA,8,1284,1614,2800,92,NA
"side_v1_85_3",85,3,"Guinea",438,"malinke","ethnic",1999,4,1,114,0.156286631454568,0.368517107150504,269,419478,34,1805,0.15646015508462,NA,8,1284,1614,2800,92,NA
